Sample number,epoch machine time (ns),Timestamp for frame capture.read  (ns),Timestamp LPMSB2 (s),"Quaternions [q0, q1, q2, q3] LPMS-B2","Euler [Roll, Pitch, Yaw] LPMSB2"
0,1692885490438928288,1692885490439703123,3137.48,"[-0.05380384996533394, -0.761154294013977, 0.5610772371292114, 0.32084527611732483]","[160.56649780273438, 33.28484344482422, -78.65109252929688]"
1,1692885490477769083,1692885490439703123,3137.485,"[-0.05377360060811043, -0.7611605525016785, 0.5609505772590637, 0.32105696201324463]","[160.5474090576172, 33.30394744873047, -78.64769744873047]"
2,1692885490485046275,1692885490439703123,3137.4900000000002,"[-0.05374622717499733, -0.761165201663971, 0.5608282685279846, 0.3212641775608063]","[160.5288543701172, 33.32276916503906, -78.64463806152344]"
3,1692885490494047733,1692885490439703123,3137.495,"[-0.0537167526781559, -0.7611720561981201, 0.5607050657272339, 0.321467787027359]","[160.51051330566406, 33.341156005859375, -78.64118957519531]"
4,1692885490501116986,1692885490439703123,3137.5,"[-0.0532427579164505, -0.7614193558692932, 0.5604017376899719, 0.3214896023273468]","[160.478271484375, 33.31568145751953, -78.59896087646484]"
5,1692885490508048580,1692885490439703123,3137.505,"[-0.053208913654088974, -0.7614228129386902, 0.5602822303771973, 0.32169538736343384]","[160.45913696289062, 33.33384323120117, -78.59632110595703]"
6,1692885490514751173,1692885490439703123,3137.51,"[-0.053164128214120865, -0.7614316344261169, 0.5601586103439331, 0.3218972682952881]","[160.43955993652344, 33.350975036621094, -78.59284210205078]"
7,1692885490522429987,1692885490439703123,3137.515,"[-0.05311226099729538, -0.7614403367042542, 0.5600360631942749, 0.3220984637737274]","[160.41934204101562, 33.36749267578125, -78.5895767211914]"
8,1692885490531358102,1692885490439703123,3137.52,"[-0.05305549502372742, -0.7614544034004211, 0.5599100589752197, 0.32229331135749817]","[160.3994903564453, 33.383201599121094, -78.58531188964844]"
9,1692885490539533071,1692885490540748184,3137.525,"[-0.053004052489995956, -0.7614684700965881, 0.5597913861274719, 0.32247474789619446]","[160.38121032714844, 33.39796829223633, -78.58111572265625]"
10,1692885490548153217,1692885490540748184,3137.53,"[-0.0529576800763607, -0.7614803910255432, 0.5596798062324524, 0.3226480185985565]","[160.36390686035156, 33.41222381591797, -78.57737731933594]"
11,1692885490556278417,1692885490540748184,3137.535,"[-0.052915651351213455, -0.7614960670471191, 0.5595746636390686, 0.3228001594543457]","[160.34893798828125, 33.424835205078125, -78.57296752929688]"
12,1692885490563581715,1692885490540748184,3137.54,"[-0.05287424102425575, -0.7615119814872742, 0.5594749450683594, 0.3229423761367798]","[160.33480834960938, 33.43649673461914, -78.56864166259766]"
13,1692885490570038975,1692885490540748184,3137.545,"[-0.05283280462026596, -0.7615272998809814, 0.5593792796134949, 0.3230786919593811]","[160.3210906982422, 33.44755935668945, -78.56450653076172]"
14,1692885490577887619,1692885490540748184,3137.55,"[-0.05220775678753853, -0.7618474960327148, 0.5590543746948242, 0.32298770546913147]","[160.28761291503906, 33.401912689208984, -78.51146697998047]"
15,1692885490584304121,1692885490540748184,3137.5550000000003,"[-0.05219586566090584, -0.7618640065193176, 0.5589749813079834, 0.32308778166770935]","[160.2797088623047, 33.41164016723633, -78.50679779052734]"
16,1692885490592486170,1692885490540748184,3137.56,"[-0.05219016969203949, -0.7618796825408936, 0.5589069724082947, 0.3231697380542755]","[160.2737579345703, 33.41997528076172, -78.50243377685547]"
17,1692885490599409975,1692885490540748184,3137.565,"[-0.052186496555805206, -0.7618945837020874, 0.5588393211364746, 0.3232519030570984]","[160.26792907714844, 33.428462982177734, -78.49816131591797]"
18,1692885490606951386,1692885490540748184,3137.57,"[-0.05218416079878807, -0.7619094252586365, 0.5587745904922485, 0.32332926988601685]","[160.2626190185547, 33.43657302856445, -78.49393463134766]"
19,1692885490614311302,1692885490540748184,3137.5750000000003,"[-0.05218544602394104, -0.7619251608848572, 0.5587173104286194, 0.323390930891037]","[160.25892639160156, 33.443416595458984, -78.48963165283203]"
20,1692885490620805768,1692885490540748184,3137.58,"[-0.05219944566488266, -0.7619407773017883, 0.5586709976196289, 0.32343193888664246]","[160.2581024169922, 33.449134826660156, -78.48532104492188]"
21,1692885490628525612,1692885490540748184,3137.585,"[-0.052233025431632996, -0.7619576454162598, 0.5586358308792114, 0.32344773411750793]","[160.26121520996094, 33.453857421875, -78.4806137084961]"
22,1692885490635306934,1692885490540748184,3137.59,"[-0.05229426547884941, -0.7619746923446655, 0.5586169958114624, 0.32343026995658875]","[160.26963806152344, 33.45735549926758, -78.47560119628906]"
23,1692885490642787593,1692885490641356075,3137.5950000000003,"[-0.05236945301294327, -0.7619897723197937, 0.5586100220680237, 0.3233945369720459]","[160.2807159423828, 33.46001052856445, -78.47091674804688]"
24,1692885490649602082,1692885490641356075,3137.6,"[-0.05179532989859581, -0.7624974250793457, 0.558341383934021, 0.3227536976337433]","[160.30699157714844, 33.36952209472656, -78.38307189941406]"
25,1692885490656991605,1692885490641356075,3137.605,"[-0.05187218636274338, -0.7625066041946411, 0.5583451390266418, 0.32271313667297363]","[160.3182373046875, 33.371604919433594, -78.37970733642578]"
26,1692885490663368859,1692885490641356075,3137.61,"[-0.05194420740008354, -0.7625133991241455, 0.5583531856536865, 0.3226715326309204]","[160.32894897460938, 33.37312698364258, -78.37699890136719]"
27,1692885490669663033,1692885490641356075,3137.6150000000002,"[-0.05201413854956627, -0.7625168561935425, 0.5583636164665222, 0.322634220123291]","[160.33888244628906, 33.37480163574219, -78.3750228881836]"
28,1692885490677439422,1692885490641356075,3137.62,"[-0.05208653584122658, -0.7625166177749634, 0.5583759546279907, 0.32260170578956604]","[160.34848022460938, 33.37702560424805, -78.37371826171875]"
29,1692885490683775986,1692885490641356075,3137.625,"[-0.052157796919345856, -0.7625136971473694, 0.5583964586257935, 0.3225615620613098]","[160.35836791992188, 33.37830352783203, -78.37312316894531]"
30,1692885490692468009,1692885490641356075,3137.63,"[-0.05222921445965767, -0.7625044584274292, 0.5584266781806946, 0.3225194215774536]","[160.3680419921875, 33.37917709350586, -78.37393188476562]"
31,1692885490698930594,1692885490641356075,3137.635,"[-0.05230528488755226, -0.7624910473823547, 0.5584614872932434, 0.32247841358184814]","[160.37779235839844, 33.380374908447266, -78.3755111694336]"
32,1692885490706688719,1692885490641356075,3137.64,"[-0.05237562581896782, -0.7624722719192505, 0.5584994554519653, 0.32244569063186646]","[160.38601684570312, 33.381778717041016, -78.37830352783203]"
33,1692885490713309473,1692885490641356075,3137.645,"[-0.052442051470279694, -0.7624488472938538, 0.5585421323776245, 0.3224163055419922]","[160.39329528808594, 33.38307189941406, -78.38215637207031]"
34,1692885490719756945,1692885490641356075,3137.65,"[-0.05266619846224785, -0.7627004981040955, 0.5586133599281311, 0.32166042923927307]","[160.49000549316406, 33.33279800415039, -78.33191680908203]"
